Tên,Địa chỉ,Số điện thoại,Link
Chiic House Hotel - khách sạn tình yêu,"Địa chỉ: 2 Đặng Tất, Vĩnh Hải, Nha Trang, Khánh Hòa 57000",Số điện thoại: 0901 260 524,https://www.google.com/maps/place/Chiic+House+Hotel+-+kh%C3%A1ch+s%E1%BA%A1n+t%C3%ACnh+y%C3%AAu/data=!4m10!3m9!1s0x317067000f1b4433:0xcdefcc9ccb6cd5ab!5m2!4m1!1i2!8m2!3d12.2773901!4d109.2010217!16s%2Fg%2F11ltfxb73_!19sChIJM0QbDwBncDERq9Vsy5zM780?authuser=0&hl=vi&rclk=1
Dolphin Hotel Nha Trang,"Địa chỉ: 51/27 Tuệ Tĩnh, Lộc Thọ, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0868 175 127,https://www.google.com/maps/place/Dolphin+Hotel+Nha+Trang/data=!4m10!3m9!1s0x317067288c31a25b:0x98bf47b14a3c5b40!5m2!4m1!1i2!8m2!3d12.2297379!4d109.1967218!16s%2Fg%2F11vrh44zdx!19sChIJW6IxjChncDERQFs8SrFHv5g?authuser=0&hl=vi&rclk=1
MARO HOTEL NHA TRANG,"Địa chỉ: 8th Floor OC2B Bldg, 5 Pham Van Dong ST, Khánh Hòa 650000",Số điện thoại: 0258 3834 555,https://www.google.com/maps/place/MARO+HOTEL+NHA+TRANG/data=!4m10!3m9!1s0x317067ee67971fe7:0x7e6578a041a6b5e0!5m2!4m1!1i2!8m2!3d12.2735036!4d109.2024618!16s%2Fg%2F11fct0xll0!19sChIJ5x-XZ-5ncDER4LWmQaB4ZX4?authuser=0&hl=vi&rclk=1
Nhã Trang CR Hotel - Khách Sạn Giá Rẻ Tại Cam Ranh,"Địa chỉ: 198 Đường 22/8 TDP.Thuận Phát, P, Cam Ranh, Khánh Hòa 57000",Số điện thoại: 0984 491 455,https://www.google.com/maps/place/Nh%C3%A3+Trang+CR+Hotel+-+Kh%C3%A1ch+S%E1%BA%A1n+Gi%C3%A1+R%E1%BA%BB+T%E1%BA%A1i+Cam+Ranh/data=!4m10!3m9!1s0x3170edc47fc120bd:0xcc16378d9939cfba!5m2!4m1!1i2!8m2!3d11.9164799!4d109.147334!16s%2Fg%2F11j50xgy9g!19sChIJvSDBf8TtcDERus85mY03Fsw?authuser=0&hl=vi&rclk=1
Pavillon Boutique Hotel & Apartment Nha Trang,"Địa chỉ: 100b/10, Trần Phú, Lộc Thọ, Nha Trang, Khánh Hòa",Số điện thoại: 0258 3838 268,https://www.google.com/maps/place/Pavillon+Boutique+Hotel+%26+Apartment+Nha+Trang/data=!4m10!3m9!1s0x317067a087cf9677:0xcfe0a234250bad24!5m2!4m1!1i2!8m2!3d12.2258759!4d109.2001586!16s%2Fg%2F11txpvxn0s!19sChIJd5bPh6BncDERJK0LJTSi4M8?authuser=0&hl=vi&rclk=1
Ola Hotel,"Địa chỉ: 184 Hùng Vương, Lộc Thọ, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0258 3525 368,https://www.google.com/maps/place/Ola+Hotel/data=!4m10!3m9!1s0x3170670f10850ba3:0x9ea76e62b8ea89b9!5m2!4m1!1i2!8m2!3d12.2337934!4d109.1959223!16s%2Fg%2F11k9k88w6_!19sChIJowuFEA9ncDERuYnquGJup54?authuser=0&hl=vi&rclk=1
Đoàn an điều dưỡng 26 Nha Trang,"Địa chỉ: 86A Trần Phú, Lộc Thọ, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0258 3526 526,https://www.google.com/maps/place/%C4%90o%C3%A0n+an+%C4%91i%E1%BB%81u+d%C6%B0%E1%BB%A1ng+26+Nha+Trang/data=!4m10!3m9!1s0x3170676518181f8b:0x354790b4a82926da!5m2!4m1!1i2!8m2!3d12.2305866!4d109.197627!16s%2Fg%2F11gbkx32tw!19sChIJix8YGGVncDER2iYpqLSQRzU?authuser=0&hl=vi&rclk=1
Angel Hotel,"Địa chỉ: 51/19/37, Tuệ Tĩnh, Lộc Thọ, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0921 328 858,https://www.google.com/maps/place/Angel+Hotel/data=!4m10!3m9!1s0x31706730329416b7:0x8271eb06f734d867!5m2!4m1!1i2!8m2!3d12.2302702!4d109.1969405!16s%2Fg%2F11wqh3j2dy!19sChIJtxaUMjBncDERZ9g09wbrcYI?authuser=0&hl=vi&rclk=1
Khách Sạn Magnolia Cam Ranh,"Địa chỉ: 147 Hùng Vương, Cam Nghĩa, Cam Ranh, Khánh Hòa 650000",Số điện thoại: 0902 666 008,https://www.google.com/maps/place/Kh%C3%A1ch+S%E1%BA%A1n+Magnolia+Cam+Ranh/data=!4m10!3m9!1s0x31708d1d1255069d:0xc6691b351704b4c3!5m2!4m1!1i2!8m2!3d11.99654!4d109.1929244!16s%2Fg%2F11fd76nh5h!19sChIJnQZVEh2NcDERw7QEFzUbacY?authuser=0&hl=vi&rclk=1
The Arena Hotel Five Star,"Địa chỉ: Lô D14D, Bãi Dài, Tp. Cam Ranh, Khánh Hòa 57810",Số điện thoại: 0985 055 795,https://www.google.com/maps/place/The+Arena+Hotel+Five+Star/data=!4m10!3m9!1s0x31708dacd66947eb:0x9c0c4f59d00386d2!5m2!4m1!1i2!8m2!3d12.025807!4d109.2175228!16s%2Fg%2F11l24fjmkr!19sChIJ60dp1qyNcDER0oYD0FlPDJw?authuser=0&hl=vi&rclk=1
Arima Hotel Nha Trang,"Địa chỉ: Hẻm 96B Trần Phú, Lộc Thọ, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0378 174 040,https://www.google.com/maps/place/Arima+Hotel+Nha+Trang/data=!4m10!3m9!1s0x317067bb77e340a1:0xad6cb5ce77234e09!5m2!4m1!1i2!8m2!3d12.2274538!4d109.199019!16s%2Fg%2F11h3_rhh9q!19sChIJoUDjd7tncDERCU4jd861bK0?authuser=0&hl=vi&rclk=1
Lanxy Hotel,"Địa chỉ: 96/2 Trần Phú, Lộc Thọ, Nha Trang, Khánh Hòa 57106",Số điện thoại: 0984 688 654,https://www.google.com/maps/place/Lanxy+Hotel/data=!4m10!3m9!1s0x317067829afc9b15:0xbf7e8db26781c76e!5m2!4m1!1i2!8m2!3d12.2274761!4d109.1987433!16s%2Fg%2F11vzs0yxt5!19sChIJFZv8moJncDERbseBZ7KNfr8?authuser=0&hl=vi&rclk=1
The Swan,"Địa chỉ: 5a Tuệ Tĩnh, Lộc Thọ, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0971 130 340,https://www.google.com/maps/place/The+Swan/data=!4m10!3m9!1s0x3170677093c78995:0xbad9f9233c519ac0!5m2!4m1!1i2!8m2!3d12.2293988!4d109.1962567!16s%2Fg%2F11f7bdxmg8!19sChIJlYnHk3BncDERwJpRPCP52bo?authuser=0&hl=vi&rclk=1
May Ngu Sac - Iridescent Clouds Hotel,"Địa chỉ: 66 Phạm Văn Đồng, Vĩnh Hải, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0258 3550 999,https://www.google.com/maps/place/May+Ngu+Sac+-+Iridescent+Clouds+Hotel/data=!4m10!3m9!1s0x31706871a4b63599:0x8424581609e546df!5m2!4m1!1i2!8m2!3d12.2881258!4d109.2054344!16s%2Fg%2F11c741sk3d!19sChIJmTW2pHFocDER30blCRZYJIQ?authuser=0&hl=vi&rclk=1
King Hotel Nha Trang,"Địa chỉ: 132 Hùng Vương, Lộc Thọ, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0988 855 544,https://www.google.com/maps/place/King+Hotel+Nha+Trang/data=!4m10!3m9!1s0x3170674d69308313:0x47c6ba4bb2251d9f!5m2!4m1!1i2!8m2!3d12.2352947!4d109.1954607!16s%2Fg%2F1wn314pj!19sChIJE4MwaU1ncDERnx0lsku6xkc?authuser=0&hl=vi&rclk=1
Thời Bình Hotel,"Địa chỉ: 456 Đinh Tiên Hoàng, Cam Hải Tây, Cam Lâm, Khánh Hòa",Số điện thoại: 0889 924 539,https://www.google.com/maps/place/Th%E1%BB%9Di+B%C3%ACnh+Hotel/data=!4m10!3m9!1s0x3170f50a6e44374d:0xdd27d8fab210e919!5m2!4m1!1i2!8m2!3d12.0766041!4d109.1727773!16s%2Fg%2F11h18ctpqy!19sChIJTTdEbgr1cDERGekQsvrYJ90?authuser=0&hl=vi&rclk=1
Kim Thanh Boutique Hotel Nha Trang,"Địa chỉ: 96b1/15, Trần Phú, Lộc Thọ, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0862 769 168,https://www.google.com/maps/place/Kim+Thanh+Boutique+Hotel+Nha+Trang/data=!4m10!3m9!1s0x317067002cbe08db:0xc9801fe4e136ad8b!5m2!4m1!1i2!8m2!3d12.2273068!4d109.1988106!16s%2Fg%2F11y5zpd8yt!19sChIJ2wi-LABncDERi6024eQfgMk?authuser=0&hl=vi&rclk=1
South Flower Hotel,"Địa chỉ: 112.12, 112/12 Đ. Hoàng Hoa Thám, Lộc Thọ, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0333 176 997,https://www.google.com/maps/place/South+Flower+Hotel/data=!4m10!3m9!1s0x3170673b1fd8ba45:0x7f85e704f489be36!5m2!4m1!1i2!8m2!3d12.2448676!4d109.1933809!16s%2Fg%2F11jgzdtrss!19sChIJRbrYHztncDERNr6J9ATnhX8?authuser=0&hl=vi&rclk=1
New Sun Hotel,"Địa chỉ: 2/3, Hùng Vương, Lộc Thọ, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0258 3524 288,https://www.google.com/maps/place/New+Sun+Hotel/data=!4m10!3m9!1s0x3170677948e1c519:0xa482384b67819145!5m2!4m1!1i2!8m2!3d12.241856!4d109.194388!16s%2Fg%2F11cn9gmvdl!19sChIJGcXhSHlncDERRZGBZ0s4gqQ?authuser=0&hl=vi&rclk=1
Siren Flower Hotel Nha Trang,"Địa chỉ: 100/C1, Trần Phú, Lộc Thọ, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0258 3526 077,https://www.google.com/maps/place/Siren+Flower+Hotel+Nha+Trang/data=!4m10!3m9!1s0x317067687694ead9:0x18ece1709db5eae4!5m2!4m1!1i2!8m2!3d12.2254219!4d109.2001926!16s%2Fg%2F11cmg9xhjb!19sChIJ2eqUdmhncDER5Oq1nXDh7Bg?authuser=0&hl=vi&rclk=1
Rembrandt Hotel Nha Trang,"Địa chỉ: 02 Trần Quang Khải, Lộc Thọ, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0258 3529 292,https://www.google.com/maps/place/Rembrandt+Hotel+Nha+Trang/data=!4m10!3m9!1s0x31706785add24833:0x39788e4c8f51acb3!5m2!4m1!1i2!8m2!3d12.2336412!4d109.196933!16s%2Fg%2F11t434r0p5!19sChIJM0jSrYVncDERs6xRj0yOeDk?authuser=0&hl=vi&rclk=1
Khách Sạn LENID,"Địa chỉ: 5 Phạm Văn Đồng, Vĩnh Hải, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0258 3551 888,https://www.google.com/maps/place/Kh%C3%A1ch+S%E1%BA%A1n+LENID/data=!4m10!3m9!1s0x317067e3b63b429f:0x6f7ab58b04254ca7!5m2!4m1!1i2!8m2!3d12.284456!4d109.2037958!16s%2Fg%2F11f06mgqgc!19sChIJn0I7tuNncDERp0wlBIu1em8?authuser=0&hl=vi&rclk=1
Ecstasy Hotel,"Địa chỉ: 100C/T25 Trần Phú, Lộc Thọ, Nha Trang, Khánh Hòa 57100",Số điện thoại: 0258 3599 399,https://www.google.com/maps/place/Ecstasy+Hotel/data=!4m10!3m9!1s0x317067687ead0e87:0x37b12154f09cb415!5m2!4m1!1i2!8m2!3d12.2264468!4d109.2000562!16s%2Fg%2F11fhngb0tk!19sChIJhw6tfmhncDERFbSc8FQhsTc?authuser=0&hl=vi&rclk=1
Motel Lê Phương,"Địa chỉ: 174 Hùng Vương, Cam Nghĩa, Cam Ranh, Khánh Hòa",Số điện thoại: 0971 023 647,https://www.google.com/maps/place/Motel+L%C3%AA+Ph%C6%B0%C6%A1ng/data=!4m10!3m9!1s0x31708d3a26ab6a45:0x7fe2d7985d1aeb62!5m2!4m1!1i2!8m2!3d11.9912304!4d109.1914878!16s%2Fg%2F11hzc09nwj!19sChIJRWqrJjqNcDERYusaXZjX4n8?authuser=0&hl=vi&rclk=1
Anrizon Hotel,"Địa chỉ: Tòa OC2B, Mường Thanh Viễn Triều, 5 Phạm Văn Đồng, Vĩnh Phước, Nha Trang, Khánh Hòa 57109",Số điện thoại: 0909 193 699,https://www.google.com/maps/place/Anrizon+Hotel/data=!4m10!3m9!1s0x317067234f03af7b:0x944bc028f911c92a!5m2!4m1!1i2!8m2!3d12.2735167!4d109.2024621!16s%2Fg%2F11gzs7gbcf!19sChIJe68DTyNncDERKskR-SjAS5Q?authuser=0&hl=vi&rclk=1
Khách sạn PEARL CITY,"Địa chỉ: 27 Lương Thế Vinh, Phước Trung, Nha Trang, Khánh Hòa",Số điện thoại: 0258 3835 959,https://www.google.com/maps/place/Kh%C3%A1ch+s%E1%BA%A1n+PEARL+CITY/data=!4m10!3m9!1s0x3170672745100969:0x44ba86110fc94c1b!5m2!4m1!1i2!8m2!3d12.2163133!4d109.1934849!16s%2Fg%2F11ygw2n93p!19sChIJaQkQRSdncDERG0zJDxGGukQ?authuser=0&hl=vi&rclk=1
Daisy flower hotel,"Địa chỉ: 79 Nguyễn Thị Minh Khai, Tân Tiến, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0974 849 828,https://www.google.com/maps/place/Daisy+flower+hotel/data=!4m10!3m9!1s0x31706749966ad9a5:0x218f2d191e5f60e0!5m2!4m1!1i2!8m2!3d12.2377055!4d109.1911399!16s%2Fg%2F11vwp7ffvf!19sChIJpdlqlklncDER4GBfHhktjyE?authuser=0&hl=vi&rclk=1
Melyna Hotel Nha Trang Beach,"Địa chỉ: 16 Dã Tượng, Vĩnh Hoà, Nha Trang, Khánh Hòa",Số điện thoại: 0258 3889 898,https://www.google.com/maps/place/Melyna+Hotel+Nha+Trang+Beach/data=!4m10!3m9!1s0x3170674393ab5f83:0x5f1773482912d8d6!5m2!4m1!1i2!8m2!3d12.2191702!4d109.2039676!16s%2Fg%2F11f3_2g4jr!19sChIJg1-rk0NncDER1tgSKUhzF18?authuser=0&hl=vi&rclk=1
Lavender Nha Trang Hotel,"Địa chỉ: 98c/4 Trần Phú, Lộc Thọ, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0258 3529 111,https://www.google.com/maps/place/Lavender+Nha+Trang+Hotel/data=!4m10!3m9!1s0x31706767d5d754b5:0x521618f7e67bcfa2!5m2!4m1!1i2!8m2!3d12.2266351!4d109.1998658!16s%2Fg%2F11c3_9w6rr!19sChIJtVTX1WdncDERos975vcYFlI?authuser=0&hl=vi&rclk=1
Sen Vàng Luxury Hotel,"Địa chỉ: 37 Đ. Mê Linh, Tân Tiến, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0258 3510 179,https://www.google.com/maps/place/Sen+V%C3%A0ng+Luxury+Hotel/data=!4m10!3m9!1s0x31705d8760328443:0x2c0c635249da1130!5m2!4m1!1i2!8m2!3d12.2398443!4d109.1878863!16s%2Fg%2F11gg5htxs0!19sChIJQ4QyYIddcDERMBHaSVJjDCw?authuser=0&hl=vi&rclk=1
Minh Tuyết Luxury Hotel,"Địa chỉ: 73 Đ. Củ Chi, Vĩnh Hải, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0328 083 878,https://www.google.com/maps/place/Minh+Tuy%E1%BA%BFt+Luxury+Hotel/data=!4m10!3m9!1s0x31706784e9243579:0x4275b8782b1583ae!5m2!4m1!1i2!8m2!3d12.279514!4d109.198259!16s%2Fg%2F11st_p_lnn!19sChIJeTUk6YRncDERroMVK3i4dUI?authuser=0&hl=vi&rclk=1
KHÁCH SẠN UYÊN PHƯƠNG,"Địa chỉ: 1062 Lê Hồng Phong, Phước Long, Nha Trang, Khánh Hòa 65000",Số điện thoại: 0983 612 545,https://www.google.com/maps/place/KH%C3%81CH+S%E1%BA%A0N+UY%C3%8AN+PH%C6%AF%C6%A0NG/data=!4m10!3m9!1s0x317067901a97a9b5:0x23f5398490382f2e!5m2!4m1!1i2!8m2!3d12.2172916!4d109.1891777!16s%2Fg%2F11vlvhw067!19sChIJtamXGpBncDERLi84kIQ59SM?authuser=0&hl=vi&rclk=1
V Hotel Nha Trang,"Địa chỉ: 8 Hùng Vương, Lộc Thọ, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0918 882 018,https://www.google.com/maps/place/V+Hotel+Nha+Trang/data=!4m10!3m9!1s0x3170677946054fe3:0x6cf05a32fc842808!5m2!4m1!1i2!8m2!3d12.2418539!4d109.194631!16s%2Fg%2F11f120stft!19sChIJ408FRnlncDERCCiE_DJa8Gw?authuser=0&hl=vi&rclk=1
Central Nha Trang Hotel & Business,"Địa chỉ: mặt tiền, 28 Hùng Vương, Lộc Thọ, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0962 626 223,https://www.google.com/maps/place/Central+Nha+Trang+Hotel+%26+Business/data=!4m10!3m9!1s0x317067693fed9dd5:0x794558d4250ea444!5m2!4m1!1i2!8m2!3d12.2405975!4d109.1948181!16s%2Fg%2F11x257s979!19sChIJ1Z3tP2lncDERRKQOJdRYRXk?authuser=0&hl=vi&rclk=1
Quỳnh Anh Homestay,"Địa chỉ: 78/36 Tuệ Tĩnh, Lộc Thọ, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0986 982 485,https://www.google.com/maps/place/Qu%E1%BB%B3nh+Anh+Homestay/data=!4m10!3m9!1s0x3170675aade2a6bf:0xb97c9272f22a4301!5m2!4m1!1i2!8m2!3d12.230029!4d109.1961827!16s%2Fg%2F11qr6tfbcs!19sChIJv6birVpncDERAUMq8nKSfLk?authuser=0&hl=vi&rclk=1
Hồng Mai 2 Hotel,"Địa chỉ: Đinh Tiên Hoàng, Cam Hải Tây, Cam Lâm, Khánh Hòa",Số điện thoại: 0258 3983 334,https://www.google.com/maps/place/H%E1%BB%93ng+Mai+2+Hotel/data=!4m10!3m9!1s0x3170f5990ddeb30b:0x27390b11cd6dbf52!5m2!4m1!1i2!8m2!3d12.0749527!4d109.1629987!16s%2Fg%2F11j0csx1jq!19sChIJC7PeDZn1cDERUr9tzRELOSc?authuser=0&hl=vi&rclk=1
Royal HPM Hotel,"Địa chỉ: 34/8 Nguyễn Thiện Thuật, Lộc Thọ, Nha Trang, Khánh Hòa 57127",Số điện thoại: 0258 3523 777,https://www.google.com/maps/place/Royal+HPM+Hotel/data=!4m10!3m9!1s0x3170677ca7405555:0xdad2f88f3f029692!5m2!4m1!1i2!8m2!3d12.2360473!4d109.1937148!16s%2Fg%2F11fk12b22x!19sChIJVVVAp3xncDERkpYCP4_40to?authuser=0&hl=vi&rclk=1
Hoàng Sa Hotel,"Địa chỉ: TDP, Nghĩa Cam, Cam Ranh, Khánh Hòa",Số điện thoại: 0906 491 454,https://www.google.com/maps/place/Ho%C3%A0ng+Sa+Hotel/data=!4m10!3m9!1s0x31708dfed64a4c9b:0xe45cc42ec984eaf4!5m2!4m1!1i2!8m2!3d11.9877876!4d109.1997739!16s%2Fg%2F11gsn3yhsr!19sChIJm0xK1v6NcDER9OqEyS7EXOQ?authuser=0&hl=vi&rclk=1
Happy Star Hotel Nha Trang,"Địa chỉ: Quân Trấn/1R Hùng Vương, Lộc Thọ, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0258 3522 223,https://www.google.com/maps/place/Happy+Star+Hotel+Nha+Trang/data=!4m10!3m9!1s0x3170676989c1eb83:0x996647cd82a61868!5m2!4m1!1i2!8m2!3d12.2345939!4d109.1951292!16s%2Fg%2F11vs52b7qv!19sChIJg-vBiWlncDERaBimgs1HZpk?authuser=0&hl=vi&rclk=1
Senia hotel,"Địa chỉ: 10Đ Đ. Củ Chi, Vĩnh Hải, Nha Trang, Khánh Hòa 650000",,https://www.google.com/maps/place/Senia+hotel/data=!4m10!3m9!1s0x317067827a25d677:0x29494fe567e6ab9d!5m2!4m1!1i2!8m2!3d12.2801372!4d109.2019963!16s%2Fg%2F11fnnys9lw!19sChIJd9YleoJncDERnavmZ-VPSSk?authuser=0&hl=vi&rclk=1
Luu Gia Hotel,"Địa chỉ: 12/7 Lý Tự Trọng, Lộc Thọ, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0258 3522 166,https://www.google.com/maps/place/Luu+Gia+Hotel/data=!4m10!3m9!1s0x317067a89c0bdc67:0x8f6a57695736d50d!5m2!4m1!1i2!8m2!3d12.2480264!4d109.1927863!16s%2Fg%2F11kq84s7cj!19sChIJZ9wLnKhncDERDdU2V2lXao8?authuser=0&hl=vi&rclk=1
Hermes Hotel Nha Trang,"Địa chỉ: 19 Biệt Thự, Lộc Thọ, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0258 3889 955,https://www.google.com/maps/place/Hermes+Hotel+Nha+Trang/data=!4m10!3m9!1s0x317067db5797ecf9:0xdb93a792c8ebfe90!5m2!4m1!1i2!8m2!3d12.235434!4d109.1949589!16s%2Fg%2F11ww29ytxm!19sChIJ-eyXV9tncDERkP7ryJKnk9s?authuser=0&hl=vi&rclk=1
Domoi Family Hotel & Apartment,"Địa chỉ: 12 Lý Thường Kiệt, Vạn Thạnh, Nha Trang, Khánh Hòa 65000",Số điện thoại: 0376 208 801,https://www.google.com/maps/place/Domoi+Family+Hotel+%26+Apartment/data=!4m10!3m9!1s0x317067136cd0c7c3:0x8b2cc15392b04818!5m2!4m1!1i2!8m2!3d12.2556395!4d109.1936477!16s%2Fg%2F11x6l59snq!19sChIJw8fQbBNncDERGEiwklPBLIs?authuser=0&hl=vi&rclk=1
Fuji Boutique Janpanes Hotel Nha Trang,"Địa chỉ: 61/45 Hùng Vương, Lộc Thọ, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0258 3528 101,https://www.google.com/maps/place/Fuji+Boutique+Janpanes+Hotel+Nha+Trang/data=!4m10!3m9!1s0x3170677b14e00259:0xaebd2dba9df2167f!5m2!4m1!1i2!8m2!3d12.234517!4d109.1963704!16s%2Fg%2F11t0rs5zs4!19sChIJWQLgFHtncDERfxbynbotva4?authuser=0&hl=vi&rclk=1
Elite Hotel Nha Trang,"Địa chỉ: 50 Đ. Củ Chi, Vĩnh Hải, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0258 3543 367,https://www.google.com/maps/place/Elite+Hotel+Nha+Trang/data=!4m10!3m9!1s0x3170673d39de3d65:0xa28f722acbed8b6d!5m2!4m1!1i2!8m2!3d12.2800786!4d109.2000081!16s%2Fg%2F11fqpm1n4j!19sChIJZT3eOT1ncDERbYvtyypyj6I?authuser=0&hl=vi&rclk=1
Khách Sạn Phú Phương,"Địa chỉ: 3 Khúc Thừa Dụ, Phước Trung, Nha Trang, Khánh Hòa",Số điện thoại: 0375 553 327,https://www.google.com/maps/place/Kh%C3%A1ch+S%E1%BA%A1n+Ph%C3%BA+Ph%C6%B0%C6%A1ng/data=!4m10!3m9!1s0x31706759c7318a23:0x7e6b00c8c014e28b!5m2!4m1!1i2!8m2!3d12.2149732!4d109.1920558!16s%2Fg%2F11btrs5bgx!19sChIJI4oxx1lncDERi-IUwMgAa34?authuser=0&hl=vi&rclk=1
Mangolia Hotel,"Địa chỉ: 14 Đ. Phan Bội Châu, Vạn Thạnh, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0377 662 143,https://www.google.com/maps/place/Mangolia+Hotel/data=!4m10!3m9!1s0x317067be6b32a191:0xd4a707b250f638e5!5m2!4m1!1i2!8m2!3d12.2548118!4d109.1935062!16s%2Fg%2F11vz5kk86p!19sChIJkaEya75ncDER5Tj2ULIHp9Q?authuser=0&hl=vi&rclk=1
Khách sạn Nắng Vàng (biển hòn chồng),"Địa chỉ: 10B Phạm Văn Đồng, Vĩnh Hải, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0258 3838 389,https://www.google.com/maps/place/Kh%C3%A1ch+s%E1%BA%A1n+N%E1%BA%AFng+V%C3%A0ng+%28bi%E1%BB%83n+h%C3%B2n+ch%E1%BB%93ng%29/data=!4m10!3m9!1s0x317067f273d0a7b5:0x58afeb3f68fd43a9!5m2!4m1!1i2!8m2!3d12.2758544!4d109.2019518!16s%2Fg%2F11scyjmgkc!19sChIJtafQc_JncDERqUP9aD_rr1g?authuser=0&hl=vi&rclk=1
Khách Sạn Triều Khang Trieu Khang Hotel,"Địa chỉ: 74 Hùng Vương, Cam Nghĩa, Cam Ranh, Khánh Hòa 650000",Số điện thoại: 0258 3857 292,https://www.google.com/maps/place/Kh%C3%A1ch+S%E1%BA%A1n+Tri%E1%BB%81u+Khang+Trieu+Khang+Hotel/data=!4m10!3m9!1s0x31708d53c477bc17:0x2387097a85bcaa6a!5m2!4m1!1i2!8m2!3d11.9945981!4d109.1919609!16s%2Fg%2F11grtyx66t!19sChIJF7x3xFONcDERaqq8hXoJhyM?authuser=0&hl=vi&rclk=1
Khách sạn Mỹ Ca,"Địa chỉ: 248 Hùng Vương, Cam Nghĩa, Cam Ranh, Khánh Hòa",Số điện thoại: 0258 3972 279,https://www.google.com/maps/place/Kh%C3%A1ch+s%E1%BA%A1n+M%E1%BB%B9+Ca/data=!4m10!3m9!1s0x31708cd467c5cf19:0xeacdaeb1391b190f!5m2!4m1!1i2!8m2!3d11.9887864!4d109.191839!16s%2Fg%2F11ggvsm1q5!19sChIJGc_FZ9SMcDERDxkbObGuzeo?authuser=0&hl=vi&rclk=1
The Sunrise Anh Tu,"Địa chỉ: thôn, Bình Lập, Cam Ranh, Khánh Hòa",Số điện thoại: 0868 034 420,https://www.google.com/maps/place/The+Sunrise+Anh+Tu/data=!4m10!3m9!1s0x3170eb07217f6bc5:0xf8f5d6f6ab619188!5m2!4m1!1i2!8m2!3d11.8550576!4d109.1789692!16s%2Fg%2F11j_z31cny!19sChIJxWt_IQfrcDERiJFhq_bW9fg?authuser=0&hl=vi&rclk=1
Marilyn Boutique Hotel Nha Trang,"Địa chỉ: 51 D. Hiến Quyền, Vĩnh Hải, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0258 6251 357,https://www.google.com/maps/place/Marilyn+Boutique+Hotel+Nha+Trang/data=!4m10!3m9!1s0x317067e3ad1fc539:0x943b6bdb8f27dbf!5m2!4m1!1i2!8m2!3d12.285254!4d109.2031102!16s%2Fg%2F11f3xwk66w!19sChIJOcUfreNncDERv33yuL22Qwk?authuser=0&hl=vi&rclk=1
Morris Hotel Nha Trang,"Địa chỉ: 98C/5 Trần Phú, Lộc Thọ, Nha Trang, Khánh Hòa 650000",Số điện thoại: 0911 931 898,https://www.google.com/maps/place/Morris+Hotel+Nha+Trang/data=!4m10!3m9!1s0x3170674351b8ede9:0x8cc022e6b5a1097d!5m2!4m1!1i2!8m2!3d12.2267489!4d109.1997941!16s%2Fg%2F11kj8khsq6!19sChIJ6e24UUNncDERfQmhteYiwIw?authuser=0&hl=vi&rclk=1
Capital O 1194 Bee Hotel,"Địa chỉ: D16-31 No 36 Golden Bay, Cam Lam Nha Trang Central, 660000",Số điện thoại: 028 4458 1611,https://www.google.com/maps/place/Capital+O+1194+Bee+Hotel/data=!4m10!3m9!1s0x317067873a24e35d:0xa821f45e386227e4!5m2!4m1!1i2!8m2!3d12.252915!4d109.189901!16s%2Fg%2F11vcqhvjp7!19sChIJXeMkOodncDER5CdiOF70Iag?authuser=0&hl=vi&rclk=1
